AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,31,28,26,23,23,22,79,71,54,1016,1014,1012,31,16,10,40,31,58,0.25,1,,83
2015-1-2,31,29,26,24,23,22,89,72,55,1016,1014,1012,31,14,3,48,34,69,0.25,2,,77
2015-1-3,31,28,25,24,23,21,89,73,54,1018,1015,1009,31,12,2,127,37,69,2.03,3,Rain,76
2015-1-4,31,28,24,23,23,22,89,76,59,1017,1015,1006,31,15,10,45,29,61,2.03,2,Rain,76
2015-1-5,30,27,24,24,23,22,89,75,62,1018,1016,1014,31,15,10,40,31,50,0.51,2,Rain,75
2015-1-6,30,27,23,23,22,21,89,71,53,1017,1015,1013,31,14,10,40,27,,3.05,1,,79
2015-1-7,31,27,24,23,22,21,83,72,52,1016,1013,1011,31,14,10,39,26,58,0.51,2,Rain,86
2015-1-8,30,28,26,22,22,21,78,70,54,1015,1013,1012,31,12,10,37,26,52,0.00,2,,80
2015-1-9,30,28,26,24,22,21,89,73,56,1015,1013,1012,26,12,2,40,32,60,0.51,2,Rain,81
2015-1-10,31,28,26,24,23,23,84,75,59,1016,1014,1012,26,14,10,42,31,61,0.00,2,Rain,76
2015-1-11,30,28,26,24,23,23,84,76,62,1015,1013,1011,26,13,10,45,34,63,0.51,2,Rain,81
2015-1-12,30,28,26,24,23,23,84,76,62,1015,1013,1011,31,14,10,42,31,55,0.25,2,,76
2015-1-13,31,28,25,24,23,3,89,75,21,1015,1012,1010,31,15,10,42,32,63,0.51,2,Rain,81
2015-1-14,30,28,26,24,23,22,84,77,59,1013,1011,1010,31,15,10,40,29,,0.00,2,,85
2015-1-15,31,28,26,24,23,23,89,77,61,1013,1012,1010,31,14,10,37,29,52,0.00,3,,80
2015-1-16,31,28,26,24,24,23,89,77,58,1014,1012,1010,26,14,10,138,31,53,0.00,3,Rain,78
2015-1-17,31,28,26,24,23,23,89,77,59,1014,1013,1011,31,14,10,27,21,,0.00,2,,76
2015-1-18,31,28,26,24,23,22,89,75,54,1015,1013,1011,31,15,10,34,23,,0.00,3,,74
2015-1-19,31,28,25,23,22,21,89,73,55,1015,1013,1011,31,15,10,27,19,,0.00,1,,72
2015-1-20,30,28,25,23,22,21,89,71,53,1014,1012,1010,31,15,10,47,23,45,0.25,2,,77
2015-1-21,31,28,25,23,22,21,83,70,49,1014,1012,1011,31,12,10,32,23,47,0.00,2,,74
2015-1-22,31,28,25,23,22,21,83,71,44,1015,1013,1012,10,10,10,32,23,53,0.00,1,,70
2015-1-23,31,28,25,23,22,21,83,72,51,1015,1013,1010,21,10,10,159,23,,0.00,2,,73
2015-1-24,30,28,25,23,22,22,83,73,58,1015,1013,1011,10,10,10,32,23,50,0.00,2,,91
2015-1-25,31,28,26,23,22,22,83,71,51,1014,1012,1010,31,13,10,39,29,53,0.00,2,,84
2015-1-26,31,27,23,23,23,21,97,75,58,1013,1011,1010,31,15,10,35,29,53,0.00,2,,82
2015-1-27,31,28,25,23,23,22,83,73,55,1013,1011,1009,31,15,10,34,26,52,0.00,2,,88
2015-1-28,31,28,26,23,22,21,83,71,54,1014,1011,1009,31,16,10,39,27,58,0.00,1,,85
