CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,5,3,2,4,2,0,100,88,72,1034,1031,1024,26,10,0,29,16,40,0.00,6,Fog,250
2015-1-2,8,4,2,6,2,0,93,76,55,1025,1018,1015,31,14,8,37,24,53,0.76,6,Rain,243
2015-1-3,5,4,3,2,0,-1,87,71,52,1023,1017,1011,31,13,10,47,31,71,0.00,6,Rain,259
2015-1-4,5,3,1,2,1,-1,93,78,59,1029,1021,1013,31,11,10,27,23,48,0.00,5,Rain,295
2015-1-5,4,2,1,4,2,0,100,92,83,1029,1027,1025,31,10,3,26,16,,1.02,7,Rain,289
2015-1-6,2,1,-1,3,1,-2,100,94,85,1028,1026,1023,18,7,1,27,10,,0.00,7,Fog-Rain,132
2015-1-7,6,2,-1,4,1,-2,100,92,84,1027,1024,1022,19,9,2,21,13,,0.25,6,Rain,225
2015-1-8,7,3,1,6,3,0,100,92,81,1026,1020,1013,26,10,2,27,14,47,4.06,6,Rain,217
2015-1-9,9,7,4,5,3,2,93,80,61,1021,1011,1002,31,14,6,50,29,76,9.91,7,Rain-Thunderstorm,259
2015-1-10,13,9,5,12,6,-2,100,80,47,1006,1001,996,26,9,3,50,27,82,4.06,6,Rain,259
2015-1-11,4,3,2,2,0,-2,100,75,50,1012,1007,1004,31,11,6,47,34,69,1.02,6,Rain-Snow,265
2015-1-12,8,4,2,6,4,2,95,88,74,1014,1012,1009,31,12,6,35,27,52,3.05,7,Rain,236
2015-1-13,12,9,6,7,4,2,93,64,42,1010,1006,1003,31,11,10,37,27,53,0.00,6,Rain,224
2015-1-14,7,5,3,7,3,-1,93,77,51,1013,1007,1004,26,11,10,40,21,58,0.00,6,Rain,234
2015-1-15,10,6,1,4,2,-1,93,77,50,1015,1007,1001,31,13,10,29,19,42,2.03,7,Rain,188
2015-1-16,9,7,6,4,3,1,87,66,46,1008,1006,1002,18,10,10,26,18,,1.02,7,Rain,207
2015-1-17,5,2,-2,5,2,-2,100,89,75,1017,1012,1006,31,13,6,14,6,,0.00,7,Fog-Rain,264
2015-1-18,3,0,-3,-1,-1,-2,100,87,64,1018,1016,1015,31,17,10,19,6,,0.00,4,Fog,183
2015-1-19,2,-1,-3,1,-1,-4,100,91,84,1016,1014,1012,31,10,6,16,8,,0.00,7,Rain,111
2015-1-20,2,1,1,2,1,0,100,95,86,1012,1012,1011,10,5,3,14,10,,2.03,7,Rain-Snow,131
