CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,2,-1,2,0,-2,93,81,69,1036,1032,1025,19,11,8,34,18,52,0.00,2,,193
2015-1-2,11,7,2,10,4,0,100,76,46,1034,1028,1022,19,12,6,40,32,55,0.00,4,Rain,257
2015-1-3,6,3,1,4,3,1,100,93,80,1034,1025,1015,19,10,3,26,14,,10.92,5,Rain,209
2015-1-4,6,2,-1,4,2,-1,100,87,66,1037,1034,1029,31,12,4,21,14,,0.00,2,,275
2015-1-5,3,1,-2,3,1,-2,100,96,89,1036,1032,1027,8,5,0,19,11,,0.00,5,Fog,178
2015-1-6,7,2,-2,5,1,-2,100,94,79,1027,1023,1020,31,5,0,26,16,39,0.25,5,Fog-Rain,193
2015-1-7,6,3,-1,4,2,-1,100,90,78,1029,1026,1022,31,14,6,29,16,48,0.25,3,Rain,207
2015-1-8,8,6,2,8,6,3,100,91,82,1028,1022,1017,19,10,2,29,24,,17.02,6,Rain,226
2015-1-9,13,8,4,12,8,3,100,89,78,1027,1020,1015,19,12,6,55,31,85,1.02,5,Rain,230
2015-1-10,12,9,6,11,7,-1,94,78,45,1019,1015,1010,31,12,4,60,48,100,2.03,5,Rain,261
2015-1-11,9,7,5,5,2,-1,81,68,51,1024,1021,1017,26,14,10,55,42,72,0.00,2,,266
2015-1-12,10,8,7,9,7,4,100,85,67,1022,1015,1009,19,11,3,45,32,60,0.25,6,Rain,216
2015-1-13,9,7,5,9,7,3,99,90,72,1009,1005,1003,26,9,3,43,29,61,7.87,5,Rain,219
2015-1-14,6,3,1,4,2,0,94,82,58,1012,1008,1004,31,14,6,40,27,55,2.03,2,Rain-Snow-Hail-Thunderstorm,210
2015-1-15,10,7,3,8,6,2,93,85,65,1005,996,993,26,11,6,45,34,64,7.11,5,Rain,206
2015-1-16,7,5,3,5,2,1,93,83,66,1010,1005,1000,31,14,9,35,23,,0.76,2,Rain,224
2015-1-17,5,2,-1,2,0,-2,93,79,61,1016,1014,1011,26,14,6,32,18,,0.51,2,Rain-Snow,225
2015-1-18,3,2,2,2,2,1,100,93,84,1014,1012,1010,18,9,5,23,14,,5.08,6,Rain-Snow,196
2015-1-19,5,2,-1,2,1,-2,100,89,68,1013,1012,1012,31,11,5,14,5,,0.00,4,Rain,263
2015-1-20,4,1,-1,1,-1,-2,100,85,61,1013,1012,1011,31,11,5,16,6,,0.00,4,Rain,189
2015-1-21,1,-1,-2,-2,-3,-4,93,83,70,1014,1010,1009,11,8,5,16,13,,0.00,2,,111
2015-1-22,0,-1,-3,-2,-3,-4,93,84,73,1025,1019,1014,8,6,3,19,13,,0.00,6,,61
2015-1-23,3,0,-3,-1,-3,-4,93,84,67,1027,1026,1023,10,6,3,23,8,,0.00,2,,183
2015-1-24,6,2,-2,3,1,-3,93,78,64,1030,1023,1017,19,10,3,35,24,53,0.25,3,Rain,310
2015-1-25,7,6,4,4,3,2,93,84,66,1032,1030,1026,19,11,9,23,14,,0.00,4,Rain,254
2015-1-26,8,7,4,8,6,2,100,89,63,1027,1023,1020,19,10,5,29,18,,0.51,6,Rain,270
2015-1-27,7,6,4,5,4,3,100,86,72,1027,1025,1022,18,12,10,21,16,,0.00,4,,295
2015-1-28,8,6,4,7,3,-2,100,83,50,1022,1007,998,19,11,3,52,26,80,4.06,5,Rain,230
2015-1-29,7,4,2,3,1,-2,93,73,55,1000,986,974,27,13,10,50,37,69,3.05,3,Rain,248
2015-1-30,5,3,1,3,1,-2,93,81,62,979,978,976,31,14,6,35,26,53,0.25,5,Rain-Hail,271
2015-1-31,4,2,-1,2,1,-1,93,83,61,987,982,979,26,13,3,40,19,60,2.03,4,Rain-Snow-Hail,262
2015-2-1,6,4,2,3,2,0,94,82,67,1002,993,988,18,10,4,48,39,69,2.03,6,Rain-Snow-Hail,319
2015-2-2,3,2,2,1,-1,-2,81,77,67,1005,1003,1002,31,14,10,32,24,,0.00,3,Rain-Hail,304
2015-2-3,4,2,-1,2,0,-2,100,85,70,1011,1006,1002,31,14,10,14,10,,0.25,2,Rain,341
2015-2-4,5,1,-2,2,0,-2,100,84,63,1021,1016,1012,31,13,4,24,11,,3.05,3,Rain-Hail,14
2015-2-5,3,0,-3,0,-2,-5,100,80,58,1028,1023,1021,26,13,4,29,14,,1.02,3,Snow,56
2015-2-6,2,1,-1,-3,-4,-5,80,69,50,1032,1028,1027,26,14,10,40,29,53,0.00,2,,50
2015-2-7,6,2,-1,4,-1,-5,100,79,56,1035,1033,1032,26,12,6,29,18,,0.00,6,Rain,26
2015-2-8,7,4,1,4,2,1,100,79,61,1036,1035,1033,14,9,8,40,24,,0.25,3,,350
2015-2-9,5,2,0,4,3,0,100,91,84,1035,1033,1033,11,8,3,21,11,,0.00,6,Rain,304
2015-2-10,6,5,4,4,3,2,96,86,72,1034,1033,1029,31,13,10,14,8,,0.00,6,Rain,50
2015-2-11,4,3,3,3,1,0,93,83,73,1030,1026,1023,14,7,5,11,8,,0.00,6,,129
2015-2-12,4,3,2,2,1,0,93,86,63,1023,1021,1018,7,5,3,11,5,,0.00,6,,180
2015-2-13,9,4,0,6,3,0,100,83,58,1019,1010,1003,31,8,0,34,18,48,0.00,3,Fog-Rain,162
2015-2-14,9,7,5,6,5,4,100,86,70,1008,1004,1002,31,14,10,23,18,,0.00,5,Rain,120
2015-2-15,8,4,0,5,3,0,100,90,71,1017,1013,1008,14,8,3,14,10,,0.00,2,Fog,51
2015-2-16,6,1,-3,4,1,-3,100,94,80,1021,1018,1017,4,1,0,21,8,,0.00,7,Fog,161
2015-2-17,7,3,-1,4,3,-2,100,87,73,1042,1033,1021,16,9,2,26,13,,0.25,4,Rain,307
2015-2-18,8,2,-3,2,-1,-3,100,83,48,1042,1039,1034,31,8,0,18,8,,0.00,3,Fog,189
2015-2-19,7,3,-2,2,1,-2,93,83,60,1034,1026,1017,10,5,0,39,21,58,0.76,4,Fog-Rain,190
2015-2-20,7,5,3,6,4,2,100,91,84,1017,1007,998,19,6,2,26,21,,9.91,7,Rain,204
2015-2-21,6,3,2,3,2,1,94,83,68,1005,1000,998,31,12,6,23,14,,0.51,3,Rain-Hail,285
2015-2-22,7,3,0,3,1,-1,93,81,60,1011,1006,995,31,14,6,45,19,64,3.05,3,Rain,223
2015-2-23,9,6,2,6,3,1,94,82,49,996,994,992,31,14,4,40,29,64,0.25,4,Rain,221
2015-2-24,8,6,2,5,3,1,93,82,65,1014,1004,995,26,13,6,43,24,63,0.51,3,Rain-Hail,242
2015-2-25,8,4,0,6,3,0,100,91,80,1020,1016,1014,26,9,0,23,13,,0.00,3,Fog-Rain,201
2015-2-26,9,6,2,9,6,3,100,90,81,1020,1014,1009,14,6,2,32,14,50,9.91,7,Rain,193
2015-2-27,6,3,1,3,1,0,93,76,61,1022,1019,1013,31,14,10,32,23,47,0.00,1,,300
2015-2-28,8,4,0,6,2,-1,93,80,61,1021,1014,1002,31,16,10,35,19,53,3.05,3,Rain,186
2015-3-1,10,8,7,8,5,3,100,79,58,1004,1001,998,26,11,6,43,32,66,0.76,3,Rain,231
2015-3-2,8,6,4,4,1,-2,87,69,43,1016,1007,1000,26,14,10,47,32,42,0.00,2,Rain,261
2015-3-3,8,4,1,5,2,-1,93,80,58,1021,1016,1014,31,16,6,37,24,53,2.03,3,Rain,234
2015-3-4,8,6,4,3,2,0,81,71,60,1036,1028,1021,26,14,10,37,31,,0.00,2,,290
2015-3-5,8,6,3,4,2,1,93,79,53,1040,1038,1037,31,14,10,19,13,,0.00,2,,275
2015-3-6,10,7,3,6,4,2,100,83,60,1038,1036,1032,31,14,9,23,11,,0.00,5,,218
2015-3-7,13,8,3,6,3,1,93,74,48,1033,1028,1025,19,16,10,26,14,,0.00,,,189
2015-3-8,12,7,3,7,4,1,100,82,59,1026,1024,1023,18,10,1,32,14,,0.00,4,,223
2015-3-9,11,6,1,8,5,0,100,87,72,1029,1026,1024,14,8,1,21,13,,0.00,4,Fog-Rain,197
2015-3-10,9,7,4,8,5,3,100,86,66,1033,1029,1025,19,8,0,29,18,,0.00,5,Fog-Rain,339
2015-3-11,11,5,-1,3,0,-3,100,71,28,1033,1031,1029,31,10,0,26,11,,0.00,5,Fog,108
2015-3-12,13,6,-1,1,-2,-3,87,58,21,1034,1028,1025,31,17,8,24,11,,0.00,,,109
2015-3-13,11,6,0,3,1,-1,87,67,39,1026,1024,1022,19,14,10,27,14,,0.00,1,,74
2015-3-14,7,4,2,3,1,-1,87,75,59,1029,1028,1025,14,10,6,29,19,,0.00,3,,45
2015-3-15,7,4,3,4,3,2,93,82,66,1029,1026,1024,11,8,6,26,19,,0.00,6,Rain,56
2015-3-16,9,6,3,5,3,2,100,84,57,1025,1023,1022,10,7,3,23,14,,0.00,1,,60
2015-3-17,16,9,2,6,4,1,100,78,39,1026,1024,1023,8,5,2,19,10,,0.00,,,57
2015-3-18,8,6,4,6,4,4,100,88,75,1032,1029,1026,6,2,0,26,18,,0.00,6,Fog,7
2015-3-19,7,6,5,5,4,4,93,88,79,1032,1030,1029,6,4,2,26,18,,0.76,7,Rain,14
2015-3-20,6,4,3,5,3,2,93,88,75,1029,1026,1022,8,5,3,26,16,,0.00,6,,18
2015-3-21,8,4,1,5,4,1,100,85,71,1026,1022,1020,19,9,3,34,19,48,0.00,6,Rain,335
2015-3-22,7,4,1,4,2,0,93,76,55,1027,1025,1022,31,15,10,29,23,,0.00,4,Rain,49
2015-3-23,7,2,-3,3,0,-3,100,86,63,1022,1017,1012,14,8,1,19,6,,0.00,4,Fog,237
2015-3-24,8,2,-3,6,2,-2,100,91,79,1012,1009,1008,19,8,3,19,8,,0.51,4,Rain,283
2015-3-25,8,4,0,4,3,-1,93,82,66,1012,1010,1008,31,13,6,26,19,,2.03,5,Rain,340
2015-3-26,9,4,-1,7,2,-2,100,86,62,1011,1007,1003,31,10,3,34,16,53,3.05,4,Rain,215
2015-3-27,8,5,2,4,2,0,87,72,46,1023,1019,1012,26,16,10,37,26,,0.00,1,,268
2015-3-28,12,7,1,10,7,0,100,89,79,1023,1015,1008,26,11,3,43,19,61,0.51,6,Rain,205
2015-3-29,11,9,8,9,8,4,100,85,66,1008,1001,994,19,10,4,61,39,90,7.87,5,Rain,243
2015-3-30,9,8,6,7,3,1,100,72,48,1013,1007,999,31,14,3,47,34,61,1.02,3,Rain,263
2015-3-31,12,9,6,9,6,2,94,73,44,1015,1005,996,19,11,3,61,45,87,0.00,4,Rain,268
2015-4-1,10,8,6,5,2,-1,87,64,46,1024,1020,1015,23,12,10,58,45,71,1.02,2,Rain,277
2015-4-2,8,4,2,7,2,-2,93,72,41,1025,1020,1012,26,12,3,35,26,58,0.00,4,Rain,314
2015-4-3,8,4,1,7,3,-1,93,88,74,1025,1019,1015,26,9,2,26,11,,0.00,6,Rain,141
2015-4-4,7,6,5,6,4,2,93,82,64,1025,1020,1016,31,9,2,29,14,,0.25,5,Rain,30
2015-4-5,8,6,2,2,1,-1,97,70,42,1029,1027,1025,31,18,10,24,14,,0.00,3,Rain,31
2015-4-6,8,3,-1,6,3,-1,100,87,69,1035,1031,1029,31,13,6,23,10,,0.00,5,Fog-Rain,337
2015-4-7,11,4,-2,5,2,-2,100,79,46,1038,1036,1035,14,6,0,14,5,,0.00,1,Fog,314
2015-4-8,13,7,0,8,4,-1,100,82,59,1035,1034,1031,11,6,0,21,6,,0.00,2,Fog,48
2015-4-9,13,8,3,8,6,2,100,81,55,1031,1028,1025,7,5,3,16,10,,0.00,1,Fog,37
2015-4-10,21,11,2,9,6,2,100,69,24,1025,1020,1015,18,5,1,14,6,,0.00,,Fog,123
2015-4-11,12,9,5,10,6,2,94,79,62,1027,1019,1014,26,12,3,37,14,53,0.76,4,Rain,226
2015-4-12,16,9,1,7,3,1,93,70,35,1029,1027,1025,26,13,3,42,18,53,0.00,2,,217
2015-4-13,12,9,7,7,5,4,87,73,56,1034,1031,1027,31,15,10,32,14,,0.00,5,,347
2015-4-14,19,11,4,10,7,3,93,74,42,1031,1026,1022,31,15,3,26,10,,0.00,,,214
2015-4-15,23,14,5,11,8,4,93,67,34,1023,1018,1015,26,16,10,29,10,,0.00,1,,242
2015-4-16,16,12,8,9,7,4,93,74,52,1016,1015,1013,19,11,6,32,18,,0.00,1,Rain,50
2015-4-17,12,9,7,6,3,0,82,64,41,1024,1019,1015,31,16,10,35,27,,0.00,1,,45
2015-4-18,14,9,3,6,3,0,88,69,26,1028,1027,1025,31,22,10,35,23,45,0.00,2,,47
2015-4-19,10,8,5,5,4,2,93,74,51,1027,1024,1022,31,17,10,26,19,,0.00,3,,27
2015-4-20,15,11,7,8,6,4,93,74,45,1031,1028,1025,31,18,14,34,19,,0.00,,,34
2015-4-21,12,10,7,8,7,5,93,81,53,1034,1033,1030,27,19,10,34,21,,0.00,2,,21
2015-4-22,12,8,4,8,6,4,93,82,57,1033,1030,1025,26,12,6,32,21,,0.00,4,,37
2015-4-23,11,7,3,6,5,3,93,80,64,1026,1021,1016,26,10,5,23,13,,0.00,4,,41
2015-4-24,15,8,0,10,6,-1,100,82,55,1017,1013,1010,10,5,0,35,8,,0.00,5,Fog,227
2015-4-25,15,12,8,11,9,7,94,83,59,1010,1008,1007,19,10,3,29,13,,1.02,4,Rain,219
2015-4-26,13,10,8,11,8,6,94,87,80,1008,1007,1006,19,10,4,26,13,,0.00,6,Rain,289
2015-4-27,11,6,1,6,3,-1,87,67,45,1013,1010,1007,31,15,10,26,23,,0.00,2,,15
2015-4-28,11,6,1,4,2,-1,88,66,36,1021,1017,1012,31,19,10,29,16,,0.00,2,,244
2015-4-29,14,8,1,7,3,0,93,67,32,1021,1016,1013,31,18,10,35,16,48,0.00,2,Rain,204
2015-4-30,13,7,2,6,4,1,93,72,42,1014,1012,1011,31,15,10,32,16,,0.00,1,Rain,245
2015-5-1,12,9,6,6,4,2,82,68,48,1012,1010,1009,31,15,10,34,18,,0.00,2,,36
2015-5-2,15,11,7,8,5,3,82,65,41,1013,1011,1006,31,16,10,21,14,,0.00,4,,84
2015-5-3,18,14,10,15,11,7,94,85,71,1006,1002,999,31,12,3,35,16,53,0.76,4,Rain,177
2015-5-4,19,14,9,13,11,8,94,78,45,1008,1005,996,31,14,8,26,16,,6.10,4,Rain,201
2015-5-5,19,15,11,15,10,5,94,73,42,1007,999,991,26,12,3,58,26,82,3.05,2,Rain,206
