CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,1,-2,1,-1,-2,100,86,59,1036,1033,1025,31,7,0,32,14,,0.00,6,Fog,197
2015-1-2,9,6,2,7,3,-1,100,81,48,1033,1025,1021,31,10,2,37,27,53,0.51,7,Rain,240
2015-1-3,4,2,1,3,2,-1,100,93,77,1032,1022,1016,19,7,1,24,13,,5.08,7,Rain-Snow,227
2015-1-4,6,2,-2,3,1,-2,100,93,76,1037,1033,1026,23,10,2,14,10,,0.00,3,,248
2015-1-5,4,1,-2,2,0,-2,100,94,74,1036,1032,1027,24,5,0,16,11,,0.00,7,Fog,201
2015-1-6,5,2,-1,4,0,-3,100,86,60,1028,1022,1020,31,10,2,27,11,,0.51,7,Rain,195
2015-1-7,7,3,1,4,2,1,100,90,69,1029,1027,1024,27,9,3,26,14,,0.00,6,Rain,213
2015-1-8,9,6,3,9,6,2,100,94,84,1028,1021,1015,18,8,3,32,23,48,20.07,6,Rain,225
2015-1-9,14,9,5,12,8,4,100,88,56,1027,1018,1012,31,9,3,47,29,69,7.11,7,Rain,230
2015-1-10,13,8,4,12,8,-1,94,80,52,1017,1011,1007,31,12,3,48,39,77,3.05,7,Rain,253
2015-1-11,7,4,2,3,1,-1,81,71,57,1022,1018,1014,29,14,10,35,24,58,0.00,6,Rain,251
2015-1-12,10,8,6,7,5,3,93,79,63,1021,1014,1010,31,11,5,47,34,69,0.00,8,Rain,221
2015-1-13,11,8,6,8,7,4,100,87,67,1010,1005,1002,31,10,5,40,31,63,5.08,7,Rain,218
2015-1-14,5,3,2,4,2,1,100,86,72,1013,1008,1004,31,10,3,39,24,58,4.06,6,Rain-Snow,219
2015-1-15,10,6,2,7,6,2,93,81,65,1009,998,994,31,11,10,47,32,72,1.02,7,Rain,200
2015-1-16,8,6,3,4,2,1,100,81,57,1009,1005,1000,31,13,8,32,19,,0.76,6,Rain,221
2015-1-17,5,1,-2,2,-1,-2,100,88,55,1016,1013,1009,31,10,5,23,11,,0.00,5,Rain,220
