EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-1,-7,-12,-11,-14,-16,88,52,32,1020,1016,1013,16,16,16,27,10,40,0.00,0,,218
2015-1-2,4,1,-2,-8,-10,-12,56,48,38,1032,1022,1015,16,16,16,26,14,45,0.00,4,,257
2015-1-3,1,-3,-8,1,-7,-14,100,78,43,1040,1033,1024,16,9,1,16,8,,16.51,5,Fog-Rain-Snow,71
2015-1-4,9,4,1,8,3,0,100,98,76,1022,1009,1001,16,7,0,24,8,52,14.22,8,Fog-Rain,254
2015-1-5,6,-2,-10,1,-13,-21,71,44,28,1027,1016,1005,16,16,16,42,31,72,0.00,2,,278
2015-1-6,-9,-12,-16,-12,-14,-21,92,72,43,1030,1023,1017,16,10,2,14,10,,0.00,6,Snow,247
2015-1-7,-5,-11,-17,-12,-17,-26,91,63,31,1021,1014,1009,16,15,3,37,13,69,0.00,3,Snow,271
2015-1-8,-8,-14,-21,-16,-23,-28,62,49,40,1029,1026,1022,16,16,16,27,18,39,0.00,0,,246
2015-1-9,-2,-7,-12,-7,-11,-16,89,67,47,1022,1016,1012,16,12,1,24,18,47,0.51,3,Fog-Snow,233
2015-1-10,-6,-12,-17,-14,-17,-19,91,62,36,1034,1029,1022,16,16,16,24,8,35,0.00,0,,249
2015-1-11,-2,-9,-15,-8,-16,-19,70,55,41,1040,1036,1033,16,16,16,19,10,,0.00,5,,218
2015-1-12,2,0,-2,1,-1,-9,100,88,46,1033,1023,1019,16,9,1,21,8,,2.29,8,Rain-Snow,241
2015-1-13,0,-7,-13,-4,-16,-21,73,53,35,1040,1035,1024,16,16,16,27,18,42,0.00,1,,331
2015-1-14,-6,-10,-14,-7,-14,-20,92,73,56,1038,1031,1024,16,14,6,11,6,,0.00,7,,320
2015-1-15,-2,-4,-7,-3,-6,-11,96,86,71,1023,1016,1010,16,10,1,14,8,,0.25,7,Snow,301
2015-1-16,3,-4,-11,-6,-13,-21,74,55,34,1021,1011,1006,16,16,16,42,16,61,0.25,3,Rain,265
2015-1-17,-6,-10,-14,-14,-21,-25,59,42,22,1030,1027,1022,16,16,16,19,13,,0.00,0,,249
2015-1-18,10,1,-7,9,-1,-13,100,86,65,1025,1014,1000,16,11,2,29,8,48,7.62,7,Rain,159
2015-1-19,6,2,-2,2,-3,-7,100,73,60,1008,1005,1000,16,16,16,32,14,42,0.00,3,Rain,253
2015-1-20,2,-1,-5,-7,-11,-15,69,49,29,1017,1011,1008,16,16,16,27,18,37,0.00,2,,272
2015-1-21,0,-6,-11,-6,-11,-16,81,61,32,1024,1022,1017,16,16,16,14,6,,0.00,3,,331
2015-1-22,2,-2,-5,-6,-7,-8,81,70,52,1025,1023,1021,16,16,16,11,5,,0.00,5,,311
2015-1-23,2,-3,-8,-8,-9,-12,78,62,44,1027,1022,1014,16,16,16,19,10,,0.00,0,,241
2015-1-24,0,-1,-2,-1,-2,-7,100,92,69,1014,1000,988,16,5,0,21,10,,13.97,7,Fog-Rain-Snow,345
2015-1-25,2,-3,-9,-3,-9,-16,89,62,34,1019,1006,994,16,16,16,26,14,42,0.00,2,,278
2015-1-26,-6,-10,-14,-8,-12,-20,92,76,56,1023,1018,1011,16,9,1,37,16,50,0.25,6,Snow,13
2015-1-27,-8,-9,-11,-10,-12,-15,92,84,71,1010,1003,999,16,2,0,39,29,60,1.78,8,Fog-Snow,343
2015-1-28,-5,-10,-17,-13,-16,-19,80,62,48,1026,1016,1007,16,15,8,27,18,37,0.00,3,Snow,307
2015-1-29,-1,-12,-24,-7,-14,-26,95,72,35,1029,1024,1017,16,16,11,13,2,,0.00,2,,140
2015-1-30,0,-4,-8,-2,-4,-14,96,87,62,1017,1010,1006,16,9,1,40,10,52,0.51,8,Snow,287
2015-1-31,-7,-10,-13,-16,-19,-23,67,51,33,1019,1013,1008,16,13,3,45,32,63,0.00,5,Snow,304
2015-2-1,-2,-11,-19,-12,-18,-23,78,48,30,1023,1021,1019,16,16,16,26,13,,0.00,1,,288
2015-2-2,-9,-11,-13,-13,-14,-21,92,84,39,1021,1006,997,16,3,0,32,14,47,13.21,7,Fog-Snow,2
2015-2-3,-6,-12,-19,-17,-19,-21,88,62,34,1028,1022,1010,16,16,16,26,16,42,0.00,0,,272
2015-2-4,3,-8,-19,-1,-10,-22,88,72,54,1028,1022,1013,16,16,10,23,6,,0.00,7,Snow,202
2015-2-5,1,-7,-16,0,-6,-23,100,83,45,1022,1013,1009,16,10,1,32,10,48,0.00,6,Fog-Rain-Snow,301
2015-2-6,-7,-14,-22,-16,-19,-24,83,60,46,1023,1021,1018,16,16,16,19,11,,0.00,2,,245
2015-2-7,-3,-7,-11,-4,-9,-17,96,74,58,1021,1019,1016,16,12,1,16,11,,0.00,7,Snow,221
2015-2-8,-4,-8,-12,-4,-9,-14,100,89,80,1021,1018,1016,16,4,1,26,10,35,2.03,8,Fog-Snow,17
2015-2-9,-9,-11,-12,-12,-13,-14,92,83,80,1023,1021,1019,13,3,0,26,19,35,0.00,8,Fog-Snow,10
2015-2-10,-1,-6,-11,-7,-10,-13,85,78,61,1022,1021,1019,16,14,3,21,14,32,0.00,6,Snow,4
2015-2-11,-6,-11,-16,-12,-14,-18,87,66,39,1022,1020,1015,16,13,3,29,18,45,0.00,4,Snow,25
2015-2-12,-4,-11,-17,-6,-11,-18,96,83,62,1015,1009,1005,16,9,2,23,3,29,0.00,7,Snow,325
2015-2-13,-8,-12,-16,-14,-22,-26,68,48,32,1021,1016,1009,16,15,8,37,23,61,0.00,1,Snow,291
2015-2-14,-6,-14,-23,-7,-13,-27,96,79,47,1021,1008,999,16,7,1,23,8,,0.00,6,Fog-Snow,56
2015-2-15,-7,-13,-20,-9,-16,-27,93,71,46,1012,1002,993,16,5,0,47,27,69,0.00,4,Fog-Snow,320
2015-2-16,-8,-14,-21,-22,-26,-28,57,43,30,1019,1015,1010,16,14,3,45,31,63,0.00,0,Snow,287
2015-2-17,-6,-11,-15,-11,-16,-23,81,62,44,1019,1015,1011,16,14,3,13,6,,0.00,7,Snow,331
2015-2-18,-2,-8,-13,-6,-10,-17,96,77,41,1015,1010,1005,16,12,1,14,3,,0.00,8,Snow,285
2015-2-19,-4,-9,-14,-6,-11,-22,100,80,50,1008,1003,1000,16,8,0,34,8,50,0.00,7,Fog-Snow,249
2015-2-20,-8,-12,-16,-21,-23,-24,53,45,30,1032,1019,1008,16,16,14,35,21,50,0.00,2,,270
2015-2-21,0,-11,-23,-1,-8,-26,100,82,46,1035,1027,1021,16,7,1,29,13,45,0.00,6,Snow,201
2015-2-22,3,-2,-6,-1,-3,-6,100,88,65,1023,1021,1019,16,13,1,11,6,,0.00,5,Fog-Snow,242
