CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,5,3,2,2,1,-1,93,80,67,1034,1030,1022,18,10,3,39,23,,0.25,6,,203
2015-1-2,11,7,3,10,3,0,100,75,52,1032,1025,1019,19,11,5,42,34,63,0.25,6,Rain,259
2015-1-3,6,4,3,5,2,1,100,86,61,1032,1023,1017,19,10,3,27,16,,3.05,7,Rain,235
2015-1-4,7,4,1,4,1,-1,100,84,70,1036,1032,1026,27,12,9,19,13,,0.51,4,Rain,274
2015-1-5,4,2,0,2,2,1,100,89,80,1035,1031,1026,14,8,3,19,14,,0.00,8,,197
2015-1-6,7,3,0,6,2,-2,100,89,79,1027,1022,1019,21,9,2,24,14,,0.51,8,Rain,191
2015-1-7,7,4,1,4,3,1,100,85,69,1027,1025,1022,27,13,7,32,16,,1.02,7,Rain,215
2015-1-8,8,6,3,8,6,3,100,91,82,1025,1020,1016,27,10,3,35,27,48,16.00,7,Rain,230
2015-1-9,12,9,6,11,8,4,100,86,60,1024,1016,1011,23,11,3,58,35,93,7.87,7,Rain-Hail,228
2015-1-10,12,9,5,11,6,-2,94,78,47,1016,1011,1006,23,11,5,61,45,90,2.03,6,Rain,253
2015-1-11,8,7,5,4,2,-1,81,68,57,1021,1017,1013,19,12,10,42,32,66,0.00,6,Rain,265
2015-1-12,9,8,7,9,6,4,100,84,64,1019,1012,1007,29,11,2,48,35,80,1.02,8,Rain,219
2015-1-13,10,8,5,9,7,3,100,87,62,1007,1003,1001,31,10,3,45,34,61,2.03,7,Rain,219
2015-1-14,6,4,3,3,2,-1,87,77,56,1010,1006,1002,31,13,10,40,27,63,0.76,6,Rain,217
2015-1-15,10,7,4,7,5,2,93,79,62,1005,995,992,31,12,6,47,34,77,6.10,7,Rain,203
2015-1-16,7,5,3,4,2,1,93,79,63,1008,1003,997,27,13,4,48,29,69,4.06,5,Rain,217
2015-1-17,6,2,-2,1,-1,-3,93,77,56,1014,1012,1009,31,14,10,32,14,40,0.25,5,Rain,220
2015-1-18,3,2,2,2,2,1,100,91,76,1013,1011,1010,14,8,2,32,16,,3.05,7,Rain,207
2015-1-19,2,1,0,2,1,0,100,98,93,1013,1012,1011,5,1,0,11,5,,0.00,7,Fog,119
2015-1-20,3,1,0,1,1,0,100,91,77,1013,1012,1011,7,4,0,14,8,,0.00,7,Fog-Rain,165
2015-1-21,1,-1,-2,0,-3,-4,93,79,64,1015,1012,1010,11,9,5,19,11,,0.00,8,,107
2015-1-22,1,-1,-3,-2,-3,-5,93,84,70,1024,1019,1015,8,6,3,21,11,,0.00,8,,44
2015-1-23,-1,-3,-5,-1,-3,-6,100,91,83,1027,1025,1023,6,3,0,27,6,,0.00,8,Fog-Rain-Snow,141
2015-1-24,7,2,-3,3,1,-2,100,83,60,1028,1021,1016,19,9,2,34,23,50,1.02,5,Rain-Snow,271
2015-1-25,7,3,0,4,3,-1,100,87,73,1030,1028,1025,14,10,7,21,11,,0.00,6,Rain,238
2015-1-26,8,7,5,8,5,2,100,86,66,1025,1020,1017,23,9,2,32,19,47,2.03,7,Rain,268
2015-1-27,8,4,2,5,3,0,93,83,69,1024,1023,1020,19,11,8,26,14,,0.00,6,,278
2015-1-28,7,4,2,6,3,-2,100,81,49,1020,1005,994,26,10,3,45,27,71,7.87,7,Rain,231
2015-1-29,6,3,0,2,0,-2,100,74,52,996,983,972,31,12,0,37,27,60,3.05,5,Rain-Snow-Thunderstorm,247
2015-1-30,4,2,-1,2,1,-1,100,87,69,978,976,972,31,11,2,24,14,,0.51,5,Rain-Snow,239
2015-1-31,5,2,-1,2,1,-2,100,87,74,986,981,977,31,12,6,26,11,,1.02,6,Rain,231
2015-2-1,6,2,-1,3,2,0,100,87,73,998,990,985,27,11,3,26,13,45,3.05,6,Rain-Snow,305
2015-2-2,6,3,1,2,1,-1,93,84,63,1002,1000,998,31,14,6,27,18,35,3.05,5,Rain-Snow,283
2015-2-3,6,2,-2,3,0,-3,100,87,67,1011,1005,1001,31,13,5,21,8,,0.51,5,Rain,308
2015-2-4,5,1,-4,2,-1,-4,100,89,66,1021,1015,1011,31,12,2,21,6,,1.02,4,Rain,331
2015-2-5,2,-2,-5,-1,-3,-5,100,85,64,1029,1024,1020,31,11,0,29,10,,0.51,6,Fog-Rain-Snow,42
2015-2-6,2,0,-2,-3,-4,-4,93,75,53,1033,1030,1028,26,11,7,29,21,,0.00,6,,44
2015-2-7,6,0,-5,4,0,-6,100,90,77,1034,1033,1031,26,8,2,23,10,,0.25,7,Rain,347
2015-2-8,7,4,2,4,2,0,93,76,51,1035,1033,1030,11,9,7,34,23,42,0.00,6,,340
2015-2-9,7,4,2,5,4,2,100,90,78,1033,1031,1030,29,11,6,23,14,,0.00,7,Rain,299
2015-2-10,7,6,4,5,4,2,100,85,67,1033,1032,1030,31,13,9,14,10,,0.00,8,Rain,9
2015-2-11,5,4,4,3,2,1,87,79,70,1030,1026,1023,31,9,5,16,10,,0.00,8,,108
2015-2-12,5,4,3,2,2,1,93,81,66,1023,1021,1019,7,5,3,14,8,,0.00,8,,140
2015-2-13,11,6,1,4,2,1,93,73,46,1019,1012,1005,18,9,3,29,16,,0.00,6,Rain,159
2015-2-14,9,7,5,5,4,3,87,75,58,1010,1006,1004,19,11,5,23,18,,0.00,7,Rain,113
2015-2-15,7,3,-1,3,2,-2,93,81,60,1017,1013,1010,13,7,3,19,13,,0.00,5,Rain,69
2015-2-16,8,2,-3,4,1,-4,100,90,62,1021,1018,1017,5,2,0,18,6,,0.00,6,Fog,150
2015-2-17,8,4,-1,5,3,-1,100,88,61,1041,1032,1022,18,7,0,23,11,,0.00,7,Fog-Rain,282
2015-2-18,8,3,-2,2,0,-2,100,83,40,1041,1038,1033,27,9,0,23,10,,0.00,1,Fog,194
2015-2-19,8,3,-1,2,1,-1,100,80,57,1033,1025,1017,10,6,2,39,23,53,1.02,6,Rain,195
2015-2-20,7,6,4,6,4,2,100,92,75,1017,1007,996,10,6,2,32,23,48,16.00,8,Rain,200
2015-2-21,6,3,0,3,2,-1,93,85,70,1004,999,996,31,12,5,21,13,,3.05,6,Rain-Snow-Thunderstorm,270
2015-2-22,7,3,-1,3,1,-2,100,81,50,1010,1005,996,31,12,5,42,14,69,5.08,5,Rain,201
2015-2-23,9,6,3,5,3,1,93,79,51,995,992,991,31,12,2,43,32,60,0.00,6,Rain-Snow,215
2015-2-24,8,6,3,4,2,1,93,78,60,1012,1002,994,27,12,6,37,27,53,3.05,6,Rain,234
2015-2-25,7,4,1,6,3,1,100,89,65,1019,1015,1012,19,10,2,24,14,,2.03,7,Rain,214
2015-2-26,9,6,3,8,6,4,100,95,86,1019,1013,1008,10,4,0,26,16,,5.08,8,Fog-Rain,180
2015-2-27,8,4,1,4,2,-1,93,77,58,1021,1016,1010,23,12,10,24,18,,0.00,5,Rain,304
2015-2-28,9,4,0,4,1,0,93,72,48,1021,1013,1002,31,13,10,37,21,58,0.00,8,,186
2015-3-1,10,8,6,8,5,3,96,76,54,1002,999,995,24,10,2,43,35,69,3.05,5,Rain,223
2015-3-2,8,6,4,3,1,-2,81,66,44,1014,1005,996,26,14,10,42,29,61,2.03,4,Rain,259
2015-3-3,8,6,3,5,2,-1,93,76,61,1018,1015,1013,31,14,7,35,24,55,4.06,6,Rain,236
2015-3-4,7,6,3,4,2,0,87,74,59,1034,1025,1018,26,13,10,35,23,53,0.25,7,Rain,283
2015-3-5,9,4,0,5,3,0,100,81,55,1038,1037,1034,31,12,3,23,13,,0.00,6,Fog,262
2015-3-6,9,7,4,5,3,1,93,73,49,1036,1034,1031,31,14,10,24,14,,0.00,8,,226
2015-3-7,13,9,4,4,3,2,87,67,40,1032,1027,1024,27,12,10,29,19,,0.00,8,,199
2015-3-8,13,9,6,8,4,2,94,72,50,1025,1023,1021,19,11,8,26,19,,0.00,8,Rain,222
2015-3-9,12,7,2,7,6,2,100,84,62,1028,1026,1023,31,10,0,23,11,,0.25,6,Fog-Rain,203
2015-3-10,11,6,2,8,5,2,100,81,55,1032,1028,1024,16,9,0,26,16,,0.00,6,Fog-Rain,323
2015-3-11,10,4,-2,4,0,-2,100,76,38,1033,1031,1030,31,9,0,19,5,,0.00,6,Fog-Rain,112
2015-3-12,12,6,-1,2,1,-2,87,63,33,1032,1029,1026,31,13,10,26,11,,0.00,1,,102
2015-3-13,9,5,1,3,1,-1,93,72,46,1027,1025,1023,24,10,6,24,14,,0.00,4,,79
2015-3-14,5,3,1,3,1,-2,93,80,64,1030,1029,1027,29,11,6,26,16,,0.00,7,Rain,46
2015-3-15,7,6,4,4,3,2,93,81,66,1029,1027,1026,14,10,6,26,18,,0.00,7,Rain,61
2015-3-16,12,7,1,4,3,1,100,75,42,1026,1024,1022,13,8,3,21,13,,0.00,7,,74
2015-3-17,16,8,-1,7,4,-1,100,77,32,1026,1024,1023,10,5,2,14,5,,0.00,8,,48
2015-3-18,7,4,1,6,5,1,100,96,89,1030,1028,1025,3,1,0,26,11,,0.00,8,Fog-Rain,332
2015-3-19,11,8,4,7,5,3,95,85,63,1030,1029,1027,8,5,2,21,13,,0.00,7,,354
2015-3-20,9,6,2,4,3,1,100,86,63,1029,1026,1020,7,4,2,14,8,,0.00,7,,351
2015-3-21,9,6,2,6,4,1,100,83,68,1025,1020,1017,31,11,2,34,19,52,0.25,7,Rain,327
2015-3-22,8,4,2,3,1,-1,81,70,52,1028,1025,1021,31,14,10,26,16,,0.00,8,,77
2015-3-23,8,3,-2,3,1,-2,100,79,52,1022,1016,1011,24,8,5,18,10,,0.00,6,,223
2015-3-24,9,4,0,6,3,0,100,87,64,1012,1008,1007,10,5,2,14,8,,3.05,6,Rain,211
2015-3-25,7,7,5,6,4,2,100,89,67,1010,1008,1006,31,8,2,19,10,,1.02,8,Rain,336
2015-3-26,8,4,0,6,3,-1,100,85,60,1010,1006,1003,27,11,3,35,14,50,0.00,5,Rain,212
2015-3-27,10,6,2,5,3,1,94,76,58,1023,1017,1008,21,12,10,34,24,,0.00,6,,270
2015-3-28,12,7,2,10,6,1,100,86,63,1023,1014,1005,23,10,2,55,19,69,1.02,8,Rain,196
2015-3-29,11,9,8,9,7,3,100,85,66,1005,998,989,31,9,4,61,37,95,11.94,7,Rain,243
2015-3-30,9,7,6,5,2,0,93,66,46,1010,1004,995,31,14,8,43,31,64,7.11,5,Rain,266
2015-3-31,11,7,3,9,5,0,100,74,48,1010,1000,990,26,11,4,61,40,84,2.03,5,Rain-Thunderstorm,265
2015-4-1,9,7,4,4,2,0,93,67,50,1020,1016,1010,31,12,3,47,39,74,3.05,6,Rain,279
2015-4-2,8,6,3,6,2,-1,93,73,44,1024,1017,1010,27,13,6,37,27,55,0.00,6,Rain,301
2015-4-3,8,4,0,3,1,0,100,72,47,1024,1020,1017,31,14,10,16,10,34,0.00,7,Rain,152
2015-4-4,9,6,2,4,2,0,93,78,49,1024,1020,1016,31,13,8,27,13,,0.51,6,Rain,30
2015-4-5,11,4,-2,2,1,-2,100,73,34,1029,1026,1024,31,13,5,19,8,,0.00,3,,352
2015-4-6,12,6,1,6,4,1,100,85,59,1035,1030,1028,31,13,10,13,5,,0.00,7,Rain,336
2015-4-7,12,7,1,7,4,1,100,85,47,1038,1036,1034,19,8,0,23,6,,0.00,4,Fog,272
2015-4-8,14,8,1,9,6,2,100,87,49,1035,1034,1032,23,5,0,13,5,,0.00,5,Fog-Rain-Snow,32
2015-4-9,18,10,2,9,7,3,100,81,44,1032,1027,1024,10,6,0,14,5,,0.00,2,Fog,17
2015-4-10,21,11,2,9,6,2,100,74,32,1024,1020,1014,9,4,0,14,5,,0.00,5,Fog,222
2015-4-11,13,9,5,10,7,2,94,76,57,1026,1017,1013,31,11,4,43,16,63,2.03,7,Rain-Hail,222
2015-4-12,16,10,4,7,5,3,93,68,37,1028,1026,1022,31,13,10,40,18,63,0.00,7,,212
2015-4-13,12,8,3,6,4,2,93,72,39,1033,1030,1026,31,14,10,26,13,,0.00,5,Rain,280
2015-4-14,19,12,5,10,7,3,87,68,35,1030,1025,1021,31,13,6,32,13,50,0.00,8,,227
2015-4-15,21,14,7,11,8,6,87,67,30,1022,1017,1014,31,13,6,23,13,,0.00,,,258
2015-4-16,14,10,6,7,4,2,100,70,33,1018,1016,1015,31,11,3,29,11,,0.00,5,,45
2015-4-17,12,9,6,6,3,2,81,66,47,1025,1020,1016,31,13,10,26,16,,0.00,6,,35
2015-4-18,14,8,1,5,3,1,100,69,35,1029,1027,1025,31,14,10,23,11,,0.00,1,,34
2015-4-19,13,7,1,5,3,1,100,74,41,1027,1024,1022,31,14,10,18,8,,0.00,6,,359
2015-4-20,17,10,3,8,5,2,100,71,33,1031,1028,1025,29,12,6,23,10,,0.00,,,27
2015-4-21,16,9,3,9,6,1,100,75,29,1033,1032,1030,31,13,6,23,10,,0.00,2,,360
2015-4-22,12,7,1,7,6,1,100,83,63,1033,1030,1025,31,11,0,23,11,,0.00,8,Fog,5
2015-4-23,14,10,5,8,6,4,93,75,52,1025,1021,1016,23,11,5,14,8,,0.00,7,,352
2015-4-24,19,10,1,10,7,1,100,76,35,1017,1012,1009,14,6,0,23,8,42,0.00,5,Fog,249
2015-4-25,15,12,10,12,9,7,94,80,55,1009,1007,1006,31,12,3,32,18,,0.25,7,Rain,224
2015-4-26,11,10,9,11,9,6,100,88,72,1007,1006,1005,31,11,3,18,11,,0.51,7,Rain,316
2015-4-27,12,8,3,6,3,1,93,67,39,1012,1009,1006,31,15,10,26,16,,0.00,6,,358
2015-4-28,11,6,0,5,1,-2,93,66,34,1020,1015,1012,31,15,10,29,13,34,0.00,4,Rain,237
2015-4-29,15,10,5,7,3,2,93,66,33,1020,1015,1012,31,14,6,37,18,52,2.03,6,Rain,209
2015-4-30,13,9,4,7,5,1,100,72,33,1013,1011,1010,31,13,6,29,16,,0.00,5,Rain,238
2015-5-1,13,8,2,4,3,1,93,69,40,1011,1010,1009,31,15,10,23,10,,0.00,5,,346
2015-5-2,15,8,2,6,4,2,100,67,39,1013,1011,1008,31,13,5,21,8,23,0.00,5,,55
2015-5-3,17,12,8,15,9,1,100,75,42,1008,1002,998,31,13,2,35,18,55,2.03,7,Rain,148
2015-5-4,19,16,12,12,10,8,88,70,45,1008,1005,999,31,14,10,32,24,48,6.10,6,Rain,204
2015-5-5,21,17,12,16,11,5,100,76,45,1007,998,991,31,13,3,64,27,90,6.10,6,Rain-Thunderstorm,195
2015-5-6,16,12,9,9,7,6,82,66,52,1010,1007,1006,31,13,3,53,31,76,4.06,6,Rain-Hail-Thunderstorm,217
2015-5-7,15,12,9,9,8,6,87,71,52,1018,1015,1010,31,13,8,40,27,55,0.00,6,Rain,247
2015-5-8,18,13,9,11,8,6,94,66,36,1018,1015,1012,31,13,9,13,6,,1.02,6,Rain,113
